,Division_segundos,Cantidad_entradas
0,1,44100
1,2,88200
2,3,132300
3,4,176400
4,5,220500
5,6,264600
6,7,308700
7,8,352800
8,9,396900
9,10,441000
10,11,485100
11,12,529200
